"柜子名称","楼层","房间","X","Y","图层","对象类型","句柄"
"10kV硫酸变配电室二段","1F","","43479.694358","39393.102765","CABLE_CABINET_1F","TEXT","1BD77"
"10kV2#PT柜","1F","","42661.482464","39425.610722","CABLE_CABINET_1F","TEXT","1BD6F"
"10kV2#主变进线柜","1F","","41759.564233","39421.439858","CABLE_CABINET_1F","TEXT","1BD6E"
"10kV烧成配电站二段","1F","","40834.037263","39434.282814","CABLE_CABINET_1F","TEXT","1BD6D"
"10kV石膏烘干配电站","1F","","39569.728819","39427.807652","CABLE_CABINET_1F","TEXT","1BD6C"
"10kV2-4#预留馈线柜","1F","","38682.327567","39421.592136","CABLE_CABINET_1F","TEXT","1BD6B"
"10kV2-3#预留馈线柜","1F","","37784.42276","39381.579206","CABLE_CABINET_1F","TEXT","1BD6A"
"10kV2-2#预留馈线柜","1F","","36034.989222","39391.659481","CABLE_CABINET_1F","TEXT","1BD69"
"10kV2-1#预留馈线柜","1F","","35196.274024","39372.551971","CABLE_CABINET_1F","TEXT","1BD68"
"10kV2#站用变柜","1F","","34388.960059","39389.202388","CABLE_CABINET_1F","TEXT","1BD67"
"10kV2#电容器柜","1F","","33664.799069","39399.509789","CABLE_CABINET_1F","TEXT","1BD66"
"10kV1#分段开关柜","1F","","32384.507547","39408.71377","CABLE_CABINET_1F","TEXT","1BD65"
"10kV1#分段隔离柜","1F","","31336.595057","39411.059364","CABLE_CABINET_1F","TEXT","1BD64"
"10kV1#PT柜","1F","","30370.606584","39414.759457","CABLE_CABINET_1F","TEXT","1BD63"
"10kV1#主变进线柜","1F","","29262.693127","39391.501731","CABLE_CABINET_1F","TEXT","1BD62"
