竖井编号,楼层,X,Y,高度,图层,对象类型,句柄
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
ZJ2_2F,2F,37116.81851,22154.13232,,CABLE_SHAFT_2F,TEXT,1C2CC
ZJ2_1F,1F,37070.87854,36573.95555,,CABLE_SHAFT_1F,TEXT,1C2CB
ZJ1_2F,2F,37107.13728,26386.50759,,CABLE_SHAFT_2F,TEXT,1C2CA
ZJ1_1F,1F,37042.87601,39799.08939,,CABLE_SHAFT_1F,TEXT,1C2C9
