行号,电缆编号,起点,终点,起点房间,终点房间,跨房间,手工长度,自动统计,向上取整,差值,基础路径长度,修正量,规则,状态,路径说明
297,1SZB-101,10kV1#站用变柜,电流接地选线及电能量采集柜,房间_1CEED,房间_1CEF3,是,32,35.0,35,3.0,19.687,15.313,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBA:1 -> R1BDC2:2 -> R1BDC2:3 -> R1BDBC:6；竖井：ZJ2
298,1SZB-102,10kV1#站用变柜,10kV1#PT柜,房间_1CEED,房间_1CEED,否,28,27.9,28,-0.1,16.262,11.638,路径拐弯/跨楼层（+7）×1.2,OK,R1BDBA:1 -> R1BDB5:1 -> R1BDB3:4
299,1SZB-161,10kV1#站用变柜,10kV1#站用变,房间_1CEED,,是,17,38.5,39,21.5,22.57,15.93,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBA:1 -> R1BDC2:2 -> R1BDC3:3 -> R1BDC3:2 -> R1BDC3:1；竖井：ZJ2
300,1SZB-162,10kV1#站用变柜,10kV1#站用变,房间_1CEED,,是,17,38.5,39,21.5,22.57,15.93,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBA:1 -> R1BDC2:2 -> R1BDC3:3 -> R1BDC3:2 -> R1BDC3:1；竖井：ZJ2
301,1SZB-163,10kV1#站用变柜,10kV1#站用变,房间_1CEED,,是,17,38.5,39,21.5,22.57,15.93,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBA:1 -> R1BDC2:2 -> R1BDC3:3 -> R1BDC3:2 -> R1BDC3:1；竖井：ZJ2
302,2SZB-101,10kV2#站用变柜,电流接地选线及电能量采集柜,房间_1CEED,房间_1CEF3,是,31,30.2,31,-0.8,15.64,14.56,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDB3:4 -> R1BDB3:3 -> R1BDBC:4 -> R1BDBC:5 -> R1BDBC:6；竖井：ZJ1
303,2SZB-102,10kV2#站用变柜,10kV2#PT柜,房间_1CEED,房间_1CEED,否,16,15.7,16,-0.3,8.662,7.038,路径不拐弯 +7,OK,R1BDB3:4 -> R1BDB4:1
304,2SZB-161,10kV2#站用变柜,10kV2#站用变,房间_1CEED,,是,22,34.4,35,12.4,19.166,15.234,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDB3:4 -> R1BDB3:3 -> R1BDBC:4 -> R1BDBC:3 -> R1BDBC:2 -> R1BDBC:1；竖井：ZJ1
305,2SZB-162,10kV2#站用变柜,10kV2#站用变,房间_1CEED,,是,22,34.4,35,12.4,19.166,15.234,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDB3:4 -> R1BDB3:3 -> R1BDBC:4 -> R1BDBC:3 -> R1BDBC:2 -> R1BDBC:1；竖井：ZJ1
306,2SZB-163,10kV2#站用变柜,10kV2#站用变,房间_1CEED,,是,22,34.4,35,12.4,19.166,15.234,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDB3:4 -> R1BDB3:3 -> R1BDBC:4 -> R1BDBC:3 -> R1BDBC:2 -> R1BDBC:1；竖井：ZJ1
307,SBD-101,10kV备用电源进线柜,电流接地选线及电能量采集柜,房间_1CEED,房间_1CEF3,是,35,36.8,37,1.8,21.166,15.634,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBB:1 -> R1BDBA:1 -> R1BDC2:2 -> R1BDC2:3 -> R1BDBC:6；竖井：ZJ2
308,SBD-102,10kV备用电源进线柜,10kV3#PT柜,房间_1CEED,房间_1CEED,否,8,8.0,8,0.0,1.002,6.998,路径不拐弯 +7,OK,R1BDBB:1
309,SBD-103A,10kV备用电源进线柜,故障录波柜,房间_1CEED,房间_1CEF3,是,34,36.1,37,2.1,20.571,15.529,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBB:1 -> R1BDB5:1 -> R1BDB3:3 -> R1BDBC:4；竖井：ZJ1
310,SBD-103B,10kV备用电源进线柜,故障录波柜,房间_1CEED,房间_1CEF3,是,34,36.1,37,2.1,20.571,15.529,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBB:1 -> R1BDB5:1 -> R1BDB3:3 -> R1BDBC:4；竖井：ZJ1
311,SBD-104,10kV备用电源进线柜,10kV2#分段开关柜,房间_1CEED,房间_1CEED,否,13,12.9,13,-0.1,5.904,6.996,路径不拐弯 +7,OK,R1BDBB:1
312,1SFD-101,10kV1#分段开关柜,10kV1#PT柜,房间_1CEED,房间_1CEED,否,10,9.4,10,-0.6,2.412,6.988,路径不拐弯 +7,OK,R1BDB3:4
313,1SFD-102A,10kV1#分段开关柜,故障录波柜,房间_1CEED,房间_1CEF3,是,30,28.9,29,-1.1,14.615,14.285,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDB3:4 -> R1BDB3:3 -> R1BDBC:4；竖井：ZJ1
314,1SFD-102B,10kV1#分段开关柜,故障录波柜,房间_1CEED,房间_1CEF3,是,30,28.9,29,-1.1,14.615,14.285,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDB3:4 -> R1BDB3:3 -> R1BDBC:4；竖井：ZJ1
315,2SFD-101,10kV2#分段开关柜,10kV3#PT柜,房间_1CEED,房间_1CEED,否,13,12.1,13,-0.9,5.108,6.992,路径不拐弯 +7,OK,R1BDBB:1
316,2SFD-102A,10kV2#分段开关柜,故障录波柜,房间_1CEED,房间_1CEF3,是,30,29.3,30,-0.7,14.881,14.419,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBB:1 -> R1BDB5:1 -> R1BDB3:3 -> R1BDBC:4；竖井：ZJ1
317,2SFD-102B,10kV2#分段开关柜,故障录波柜,房间_1CEED,房间_1CEF3,是,30,29.3,30,-0.7,14.881,14.419,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBB:1 -> R1BDB5:1 -> R1BDB3:3 -> R1BDBC:4；竖井：ZJ1
318,1SFG-101A,10kV1#分段隔离柜,10kV1#PT柜,房间_1CEED,房间_1CEED,否,9,8.4,9,-0.6,1.366,7.034,路径不拐弯 +7,OK,R1BDB3:4
319,1SFG-101B,10kV1#分段隔离柜,10kV2#PT柜,房间_1CEED,房间_1CEED,否,19,18.7,19,-0.3,11.736,6.964,路径不拐弯 +7,OK,R1BDB3:4 -> R1BDB4:1
320,2SFG-101A,10kV2#分段隔离柜,10kV3#PT柜,房间_1CEED,房间_1CEED,否,12,11.1,12,-0.9,4.079,7.021,路径不拐弯 +7,OK,R1BDBB:1
321,2SFG-101B,10kV2#分段隔离柜,10kV3#PT柜,房间_1CEED,房间_1CEED,否,12,11.1,12,-0.9,4.079,7.021,路径不拐弯 +7,OK,R1BDBB:1
322,1SYH-132,10kV1#PT柜,电流接地选线及电能量采集柜,房间_1CEED,房间_1CEF3,是,33,35.0,35,2.0,19.683,15.317,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDB3:4 -> R1BDB3:3 -> R1BDBC:4 -> R1BDBC:5 -> R1BDBC:6；竖井：ZJ1
323,1SYH-133A,10kV1#PT柜,故障录波柜,房间_1CEED,房间_1CEF3,是,32,31.4,32,-0.6,16.634,14.766,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDB3:4 -> R1BDB3:3 -> R1BDBC:4；竖井：ZJ1
324,1SYH-133B,10kV1#PT柜,故障录波柜,房间_1CEED,房间_1CEF3,是,32,31.4,32,-0.6,16.634,14.766,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDB3:4 -> R1BDB3:3 -> R1BDBC:4；竖井：ZJ1
325,1SYH-134,10kV1#PT柜,1#主变测控柜,房间_1CEED,房间_1CEF3,是,35,36.9,37,1.9,21.283,15.617,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDB3:4 -> R1BDB3:3 -> R1BDBC:4 -> R1BDBC:5 -> R1BDBC:6；竖井：ZJ1
326,1SYH-135A,10kV1#PT柜,1#主变保护柜,房间_1CEED,房间_1CEF3,是,34,36.0,36,2.0,20.483,15.517,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDB3:4 -> R1BDB3:3 -> R1BDBC:4 -> R1BDBC:5 -> R1BDBC:6；竖井：ZJ1
327,1SYH-135B,10kV1#PT柜,1#主变保护柜,房间_1CEED,房间_1CEF3,是,34,36.0,36,2.0,20.483,15.517,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDB3:4 -> R1BDB3:3 -> R1BDBC:4 -> R1BDBC:5 -> R1BDBC:6；竖井：ZJ1
328,2SYH-132,10kV2#PT柜,电流接地选线及电能量采集柜,房间_1CEED,房间_1CEF3,是,32,33.8,34,1.8,18.631,15.169,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDB4:1 -> R1BDB3:3 -> R1BDBC:4 -> R1BDBC:5 -> R1BDBC:6；竖井：ZJ1
329,2SYH-133A,10kV2#PT柜,故障录波柜,房间_1CEED,房间_1CEF3,是,31,30.1,31,-0.9,15.582,14.518,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDB4:1 -> R1BDB3:3 -> R1BDBC:4；竖井：ZJ1
330,2SYH-133B,10kV2#PT柜,故障录波柜,房间_1CEED,房间_1CEF3,是,31,30.1,31,-0.9,15.582,14.518,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDB4:1 -> R1BDB3:3 -> R1BDBC:4；竖井：ZJ1
331,2SYH-134,10kV2#PT柜,2#主变测控柜,房间_1CEED,房间_1CEF3,是,32,33.9,34,1.9,18.79,15.11,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDB4:1 -> R1BDB3:3 -> R1BDBC:4 -> R1BDC0:1 -> R1BDBC:6；竖井：ZJ1
332,2SYH-135A,10kV2#PT柜,2#主变保护柜,房间_1CEED,房间_1CEF3,是,33,34.9,35,1.9,19.59,15.31,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDB4:1 -> R1BDB3:3 -> R1BDBC:4 -> R1BDC0:1 -> R1BDBC:6；竖井：ZJ1
333,2SYH-135B,10kV2#PT柜,2#主变保护柜,房间_1CEED,房间_1CEF3,是,33,34.9,35,1.9,19.59,15.31,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDB4:1 -> R1BDB3:3 -> R1BDBC:4 -> R1BDC0:1 -> R1BDBC:6；竖井：ZJ1
334,3SYH-132,10kV3#PT柜,电流接地选线及电能量采集柜,房间_1CEED,房间_1CEF3,是,34,35.8,36,1.8,20.371,15.429,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBB:1 -> R1BDBA:1 -> R1BDC2:2 -> R1BDC2:3 -> R1BDBC:6；竖井：ZJ2
335,3SYH-133A,10kV3#PT柜,故障录波柜,房间_1CEED,房间_1CEF3,是,33,35.1,36,2.1,19.775,15.325,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBB:1 -> R1BDB5:1 -> R1BDB3:3 -> R1BDBC:4；竖井：ZJ1
336,3SYH-133B,10kV3#PT柜,故障录波柜,房间_1CEED,房间_1CEF3,是,33,35.1,36,2.1,19.775,15.325,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBB:1 -> R1BDB5:1 -> R1BDB3:3 -> R1BDBC:4；竖井：ZJ1
