行号,电缆编号,起点,终点,起点房间,终点房间,跨房间,手工长度,自动统计,向上取整,差值,基础路径长度,修正量,规则,状态,路径说明
217,1B-101C,1#主变保护柜,故障录波柜,房间_1CEF3,房间_1CEF3,否,16,15.2,16,-0.8,5.689,9.511,路径拐弯/跨楼层（+7）×1.2,OK,R1BDBC:6 -> R1BDC0:1 -> R1BDBC:4
218,1B-102A,1#主变保护柜,1#主变测控柜,房间_1CEF3,房间_1CEF3,否,8,7.8,8,-0.2,0.828,6.972,路径不拐弯 +7,OK,R1BDBC:6
219,1B-102B,1#主变保护柜,1#主变测控柜,房间_1CEF3,房间_1CEF3,否,8,7.8,8,-0.2,0.828,6.972,路径不拐弯 +7,OK,R1BDBC:6
220,1B-102C,1#主变保护柜,1#主变测控柜,房间_1CEF3,房间_1CEF3,否,8,7.8,8,-0.2,0.828,6.972,路径不拐弯 +7,OK,R1BDBC:6
221,1B-102D,1#主变保护柜,1#主变测控柜,房间_1CEF3,房间_1CEF3,否,8,7.8,8,-0.2,0.828,6.972,路径不拐弯 +7,OK,R1BDBC:6
222,1B-102E,1#主变保护柜,1#主变测控柜,房间_1CEF3,房间_1CEF3,否,8,7.8,8,-0.2,0.828,6.972,路径不拐弯 +7,OK,R1BDBC:6
223,1B-102F,1#主变保护柜,1#主变测控柜,房间_1CEF3,房间_1CEF3,否,8,7.8,8,-0.2,0.828,6.972,路径不拐弯 +7,OK,R1BDBC:6
224,1B-103A,1#主变保护柜,1#主变测控柜,房间_1CEF3,房间_1CEF3,否,8,7.8,8,-0.2,0.828,6.972,路径不拐弯 +7,OK,R1BDBC:6
225,1B-103B,1#主变保护柜,1#主变测控柜,房间_1CEF3,房间_1CEF3,否,8,7.8,8,-0.2,0.828,6.972,路径不拐弯 +7,OK,R1BDBC:6
226,1B-104A,1#主变保护柜,10kV1#分段开关柜,房间_1CEF3,房间_1CEED,是,32,33.6,34,1.6,18.464,15.136,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBC:6 -> R1BDBC:5 -> R1BDBC:4 -> R1BDB3:3 -> R1BDB3:4；竖井：ZJ1
